room_name,room_type,capacity
R23,CLASSROOM,60
R14,CLASSROOM,60
R11,CLASSROOM,60
R12,CLASSROOM,120
R10,CLASSROOM,60
R13,CLASSROOM,60
LAB 1,LAB,30
LAB 2,LAB,30
LAB 3,LAB,30
LAB 4,LAB,30
LAB 5,LAB,30
